Altium Designer Pick and Place Locations,,,,,,,,
D:\Documents\Altium\Projects\ECC\Walrus\Rev 1\CAM\Assembly Gerbers_Files, Walrus\Pick and Place, Walrus\Pick Place for Walrus.csv,,,,,,
,,,,,,,,
========================================================================================================================,,,,,,,,
File Design Information:,,,,,,,,
,,,,,,,,
Date:       23/08/17,,,,,,,,
Time:       12:29,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,
Variant:    No variations,,,,,,,,
Units used: mm,,,,,,,,
,,,,,,,,
Designator,DNI,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
U2,,RFM69HCW,TopLayer,RFM69HCW,35.5751,14.725,360,ISM TRANSCEIVER MODULE
U3,,ADS1015,TopLayer,QFN50P200X150X40-10(RUG_R-PQFP-N10),14.085,4.3,0,"Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADC With Internal Reference, Oscillator, and Programmable Comparator"
J1,,U.FL-R-SMT-1,TopLayer,HIROSE_U.FL-R-SMT-1,43.075,3.7375,180,Ultra Small Surface Mount Coaxial Connectors - 1.9mm or 2.4mm Mated Height
J4,,S2B-PH-SM4-TB,TopLayer,JST_S2B-PH-SM4-TB,8.125,11.5,90,PH CONNECTOR/2.0MM Pitch Side Entry
J3,*,HLE-120-02-G-DV-A,BottomLayer,SAMTEC_HLE-120-02-G-DV-A,32.5,26.5,0,"0.100 Tiger Beam™ Cost-effective Single Beam Socket Strip"""
C6,,0.1µF 10V X7R,TopLayer,CAPC1005X60L(0402_FLEXTRONICS),1.415,18.825,360,Ceramic Chip Capacitor
C5,,2.2µF 16V X5R,TopLayer,CAPC1005X60L(0402),1.475,21.325,360,Ceramic Chip Capacitor
C8,,4.7µF 6.3V X5R,TopLayer,CAPC1005X60L(0402),6.375,22.975,270,Ceramic Chip Capacitor
C9,,4.7µF 6.3V X5R,TopLayer,CAPC1005X60L(0402),13.75,13,270,Ceramic Chip Capacitor
Q2,,NTA4151PT1G,TopLayer,"SOT50P160X90-3L(SOT416,_SC75)",10.45,1.675,0,Small Signal MOSFET
R10,*,DNP,TopLayer,RESC1005X40L(0402)_DNP,1.475,20.525,360,"Chip Resistor, Thick Film"
R11,,1.8K ±1%,TopLayer,RESC1005X40L(0402),1.425,18,360,"Chip Resistor, Thick Film"
R12,*,DNP,TopLayer,RESC1005X40L(0402)_DNP,1.475,19.675,360,"Chip Resistor, Thick Film"
R14,,10.0K ±1%,TopLayer,RESC1005X40L(0402),3.025,17.1,360,"Chip Resistor, Thick Film"
U5,,bq24232,TopLayer,QFN50P300X300X100-17N(bq24232),4.55,20,90,USB-FRIENDLY LITHIUM-ION BATTERY CHARGER AND POWER-PATH MANAGEMENT IC
D6,,GREEN,TopLayer,DIOC1608X90L(0603)_GREEN,64,20.1,270,Surface Mounting Chip LED
D9,,BLUE,TopLayer,DIOC1608X90L(0603)_BLUE,64,22.925,270,Surface Mounting Chip LED
D8,,RED,TopLayer,DIOC1608X90L(0603)_RED,64,8.6,270,Surface Mounting Chip LED
D10,,RB520S30T1G,TopLayer,SODFL1608X70L(SOD-523),59.2,22.525,270,Schottky Barrier Diode
